Service Id,Multi-Tenancy model,Automated Provisioning,Single Sign On,Subscription Based Billing,High Availability,Elastic Infrastructure,Data Security,Application Security,Rate Limiting/QoS,Audit,Security,Scalability,Ease Of Use,Latency,Score
Service_ID : 1765,403,High,Yes,Low,Medium,Disagree,Low,Medium,59,Low,Low,Medium,Disagree,Low,54.6875
Service_ID : 1766,230,Low,No,Low,Medium,Neutral,Medium,Medium,41,Low,Medium,Low,Strongly Disagree,Very High,32.8125
Service_ID : 1767,325,High,No,Medium,High,Strongly Disagree,Low,Low,37,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1768,4,High,Yes,High,Low,Strongly Agree,Medium,Low,36,Medium,Low,Low,Strongly Agree,Low,68.75
Service_ID : 1769,35,Medium,No,High,Low,Agree,Medium,High,74,Medium,High,Low,Neutral,Medium,65.625
Service_ID : 1770,224,Medium,No,High,Low,Strongly Disagree,Medium,High,23,High,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 1771,384,High,Yes,High,Low,Strongly Agree,Low,High,48,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1772,659,Medium,Yes,High,Medium,Neutral,Medium,Low,88,Medium,Low,High,Strongly Agree,Very Low,84.375
Service_ID : 1773,88,Medium,No,Low,Low,Agree,High,Low,26,Low,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 1774,417,Low,No,High,High,Neutral,High,High,65,Low,High,Medium,Neutral,Medium,70.3125
Service_ID : 1775,903,Medium,No,High,High,Disagree,High,Medium,87,Low,High,High,Neutral,Low,81.25
Service_ID : 1776,145,Medium,No,High,Low,Agree,High,Low,9,High,Low,Low,Agree,Very High,43.75
Service_ID : 1777,736,Medium,Yes,High,Medium,Strongly Disagree,High,High,66,Medium,High,High,Agree,Low,87.5
Service_ID : 1778,943,High,Yes,Low,Low,Disagree,Medium,Medium,7,Low,Medium,Low,Disagree,High,45.3125
Service_ID : 1779,779,Low,No,High,Low,Agree,High,Medium,56,High,High,High,Neutral,Medium,75.0
Service_ID : 1780,102,Medium,No,High,High,Disagree,Medium,High,10,Low,High,Low,Neutral,Medium,65.625
Service_ID : 1781,838,Low,Yes,Low,Medium,Disagree,High,Low,99,Low,Low,High,Disagree,Low,59.375
Service_ID : 1782,15,High,Yes,Medium,Medium,Neutral,High,Medium,1,High,High,Low,Strongly Agree,High,71.875
Service_ID : 1783,30,Medium,No,Medium,High,Strongly Agree,Medium,Low,21,High,Low,Low,Agree,Medium,56.25
Service_ID : 1784,294,Medium,No,High,Low,Disagree,Medium,Low,50,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1785,865,High,No,Medium,Low,Disagree,High,Medium,34,Medium,High,Medium,Neutral,Medium,70.3125
Service_ID : 1786,995,Low,No,High,Low,Neutral,Medium,Medium,37,Medium,Medium,High,Strongly Disagree,Medium,54.6875
Service_ID : 1787,616,High,No,High,Medium,Disagree,High,High,32,High,High,Medium,Agree,Medium,76.5625
Service_ID : 1788,464,Low,Yes,High,Low,Neutral,High,Low,48,High,Low,Medium,Agree,Low,67.1875
Service_ID : 1789,655,High,Yes,Medium,Low,Agree,Low,Medium,28,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 1790,505,High,No,High,Medium,Neutral,High,Low,26,Low,Low,Low,Neutral,Medium,50.0
Service_ID : 1791,310,Low,Yes,Medium,Low,Strongly Disagree,Low,High,87,High,Low,Medium,Disagree,High,42.1875
Service_ID : 1792,321,Medium,No,Low,High,Disagree,High,Low,37,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1793,412,Low,Yes,Medium,High,Agree,Low,Medium,52,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 1794,289,Low,Yes,Medium,High,Disagree,Low,High,35,Medium,Low,Low,Agree,Low,62.5
Service_ID : 1795,680,Medium,Yes,Low,Medium,Strongly Disagree,High,High,66,High,High,High,Disagree,High,62.5
Service_ID : 1796,285,Medium,No,Medium,High,Disagree,Medium,High,14,Low,High,Low,Neutral,Medium,65.625
Service_ID : 1797,481,Medium,Yes,Medium,Low,Disagree,High,Low,100,Medium,Low,High,Disagree,Low,59.375
Service_ID : 1798,923,Low,No,High,High,Disagree,Medium,High,43,Medium,High,High,Neutral,Medium,75.0
Service_ID : 1799,731,Medium,No,Low,Medium,Strongly Disagree,Medium,Medium,34,Medium,Medium,Medium,Strongly Disagree,Very High,37.5
Service_ID : 1800,422,Medium,Yes,High,High,Strongly Disagree,Medium,Medium,98,Low,Medium,High,Disagree,Low,67.1875
Service_ID : 1801,126,High,No,Medium,Medium,Strongly Disagree,High,High,39,High,High,Low,Neutral,Medium,65.625
Service_ID : 1802,738,Low,No,Low,High,Strongly Disagree,Medium,Medium,12,Low,Medium,Low,Strongly Disagree,Very High,32.8125
Service_ID : 1803,155,High,Yes,Medium,Low,Disagree,Medium,Low,63,High,Low,Low,Agree,Low,62.5
Service_ID : 1804,692,Low,No,High,Low,Strongly Disagree,High,High,21,High,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 1805,371,Medium,Yes,Medium,Low,Agree,Medium,High,72,Medium,High,Medium,Agree,Low,82.8125
Service_ID : 1806,652,Medium,No,Medium,Low,Strongly Disagree,Medium,Low,93,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 1807,563,Low,Yes,Medium,Medium,Disagree,Low,Medium,43,Medium,Low,Medium,Disagree,Low,54.6875
Service_ID : 1808,252,Medium,No,Low,Low,Neutral,High,High,39,Medium,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 1809,247,Medium,Yes,Low,High,Strongly Disagree,Low,High,68,High,Low,Medium,Disagree,Low,54.6875
Service_ID : 1810,117,High,No,High,Low,Neutral,Medium,Low,56,High,Low,Low,Agree,Medium,56.25
Service_ID : 1811,237,Low,No,Medium,Low,Agree,High,Low,7,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 1812,241,High,No,Medium,Low,Disagree,Low,Medium,100,High,Low,Medium,Neutral,Medium,54.6875
Service_ID : 1813,303,Medium,No,Low,Medium,Disagree,Medium,High,99,High,High,Medium,Neutral,Medium,70.3125
Service_ID : 1814,910,Medium,No,Medium,High,Strongly Disagree,Medium,High,77,Medium,High,High,Neutral,Medium,75.0
Service_ID : 1815,11,High,Yes,High,High,Agree,High,Low,39,Medium,Low,Low,Strongly Agree,Very Low,75.0
Service_ID : 1816,522,High,No,High,High,Agree,Low,High,20,High,Low,Low,Agree,Medium,56.25
Service_ID : 1817,902,High,No,High,Medium,Agree,Medium,Medium,14,High,Medium,Low,Agree,Medium,64.0625
Service_ID : 1818,314,Low,No,High,Medium,Neutral,Low,Low,15,High,Low,Low,Neutral,Very High,37.5
Service_ID : 1819,868,Medium,Yes,Medium,Low,Agree,Low,Low,38,High,Low,Medium,Agree,Low,67.1875
Service_ID : 1820,158,Medium,Yes,High,High,Disagree,Low,Medium,84,High,Low,Low,Strongly Agree,Very Low,75.0
Service_ID : 1821,430,Low,Yes,High,High,Strongly Disagree,Low,Low,28,High,Low,Low,Agree,High,50.0
Service_ID : 1822,336,High,No,Low,High,Agree,High,Medium,13,Medium,High,Low,Agree,Medium,71.875
Service_ID : 1823,798,High,Yes,Medium,High,Disagree,Low,High,72,High,Low,High,Strongly Agree,Very Low,84.375
Service_ID : 1824,77,Medium,Yes,Medium,Low,Disagree,Medium,Medium,86,Medium,Medium,Low,Disagree,Low,57.8125
Service_ID : 1825,572,Low,Yes,High,Low,Strongly Agree,High,Medium,52,Medium,High,Medium,Agree,Low,82.8125
Service_ID : 1826,976,High,Yes,High,Medium,Neutral,High,Low,18,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1827,231,Medium,Yes,Low,Medium,Neutral,Low,Low,86,High,Low,Medium,Agree,Low,67.1875
Service_ID : 1828,501,High,Yes,Medium,Low,Neutral,Medium,High,76,Low,High,High,Disagree,Low,75.0
Service_ID : 1829,190,High,Yes,Low,High,Strongly Disagree,High,High,48,Low,High,Low,Disagree,Low,65.625
Service_ID : 1830,231,Low,Yes,High,Low,Strongly Disagree,High,Low,79,Medium,Low,Medium,Disagree,High,42.1875
Service_ID : 1831,972,Low,No,High,Medium,Neutral,High,Low,65,High,Low,High,Neutral,Medium,59.375
Service_ID : 1832,926,High,Yes,Medium,Low,Strongly Agree,High,High,44,High,High,High,Strongly Agree,Low,93.75
Service_ID : 1833,910,Medium,No,Low,High,Neutral,High,Medium,27,Low,High,Medium,Strongly Disagree,Medium,57.8125
Service_ID : 1834,461,Medium,No,Medium,Medium,Strongly Disagree,Low,High,36,Low,Low,Medium,Strongly Disagree,Very High,29.6875
Service_ID : 1835,475,Low,Yes,High,Low,Neutral,Medium,Low,22,High,Low,Low,Agree,High,50.0
Service_ID : 1836,412,High,No,Low,High,Neutral,Medium,Low,60,Low,Low,Medium,Neutral,Medium,54.6875
Service_ID : 1837,104,Low,No,Low,Medium,Strongly Disagree,Low,Medium,76,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 1838,803,Low,Yes,Medium,Low,Neutral,Low,Low,65,High,Low,High,Disagree,Low,59.375
Service_ID : 1839,389,Medium,Yes,High,High,Neutral,Medium,Low,36,Low,Low,Low,Agree,Low,62.5
Service_ID : 1840,289,High,Yes,Medium,Medium,Agree,Low,High,23,Low,Low,Low,Agree,Low,62.5
Service_ID : 1841,754,Low,Yes,High,Medium,Disagree,High,Medium,44,Low,High,Medium,Disagree,Low,70.3125
Service_ID : 1842,625,Medium,Yes,High,Medium,Disagree,Low,High,52,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 1843,932,High,No,Medium,Medium,Strongly Disagree,High,High,40,Low,High,High,Strongly Disagree,Medium,62.5
Service_ID : 1844,246,High,No,High,Medium,Strongly Agree,High,Low,100,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1845,917,High,Yes,High,Low,Strongly Disagree,High,Medium,50,Low,High,High,Disagree,Low,75.0
Service_ID : 1846,608,High,No,Low,High,Neutral,High,High,71,Low,High,High,Neutral,Medium,75.0
Service_ID : 1847,135,High,No,High,Medium,Agree,Medium,High,85,Medium,High,Low,Agree,Low,78.125
Service_ID : 1848,508,Low,No,Medium,Low,Disagree,Medium,Low,76,High,Low,High,Strongly Disagree,Very High,34.375
Service_ID : 1849,280,Medium,No,Low,Medium,Agree,Medium,Medium,18,Low,Medium,Low,Strongly Disagree,Very High,32.8125
Service_ID : 1850,142,Medium,Yes,High,High,Strongly Disagree,High,Medium,55,Medium,High,Low,Agree,Low,78.125
Service_ID : 1851,706,High,No,Low,Medium,Agree,High,Low,73,Low,Low,High,Neutral,Medium,59.375
Service_ID : 1852,709,Medium,Yes,Low,Medium,Disagree,Low,High,83,Medium,Low,High,Disagree,Low,59.375
Service_ID : 1853,677,Medium,Yes,Medium,High,Disagree,Medium,Medium,2,Low,Medium,Low,Agree,High,57.8125
Service_ID : 1854,417,Low,Yes,Low,High,Strongly Disagree,Low,High,32,Low,Low,Low,Disagree,High,37.5
Service_ID : 1855,806,Low,No,Low,High,Disagree,Low,High,85,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 1856,391,Medium,No,Medium,Low,Agree,High,Low,63,High,Low,Medium,Neutral,Medium,54.6875
Service_ID : 1857,129,Low,No,High,Low,Agree,Medium,Low,28,Medium,Low,Low,Neutral,Medium,50.0
Service_ID : 1858,977,Medium,Yes,Medium,High,Strongly Agree,High,High,20,Medium,High,Medium,Strongly Agree,Low,89.0625
Service_ID : 1859,297,Medium,No,Low,Medium,Strongly Agree,Low,Low,64,Low,Low,Medium,Strongly Disagree,Medium,42.1875
Service_ID : 1860,944,Medium,No,Low,High,Strongly Disagree,Medium,Medium,26,High,Medium,Medium,Strongly Disagree,Very High,37.5
Service_ID : 1861,377,Medium,Yes,Low,Low,Agree,Low,High,80,Medium,Low,Medium,Disagree,Low,54.6875
Service_ID : 1862,619,Medium,Yes,High,Low,Strongly Agree,Medium,Medium,17,High,Medium,Low,Strongly Agree,Low,76.5625
Service_ID : 1863,376,High,No,High,Medium,Strongly Agree,Low,Low,93,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1864,307,High,No,High,Low,Strongly Agree,High,High,51,Low,High,Low,Neutral,Medium,65.625
Service_ID : 1865,495,Low,No,Medium,Low,Strongly Disagree,Medium,Low,58,Medium,Low,Medium,Strongly Disagree,Very High,29.6875
Service_ID : 1866,350,Medium,Yes,Low,Low,Strongly Agree,High,High,38,Low,High,Low,Disagree,Low,65.625
Service_ID : 1867,589,Medium,Yes,Medium,Low,Strongly Disagree,Medium,High,64,High,High,High,Disagree,High,62.5
Service_ID : 1868,390,High,No,Medium,High,Neutral,Medium,Low,15,Medium,Low,Low,Agree,Medium,56.25
Service_ID : 1869,508,Medium,Yes,High,Medium,Strongly Agree,High,High,21,High,High,Low,Strongly Agree,Low,84.375
Service_ID : 1870,854,Low,Yes,Medium,Medium,Disagree,Medium,Medium,32,High,Medium,Medium,Agree,High,62.5
Service_ID : 1871,804,High,No,Medium,High,Neutral,Low,High,90,Medium,Low,High,Agree,Low,71.875
Service_ID : 1872,600,High,No,Low,Low,Strongly Agree,High,Low,60,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 1873,891,High,No,Low,Medium,Strongly Agree,Low,High,54,Low,Low,High,Neutral,Medium,59.375
Service_ID : 1874,613,High,No,Medium,Medium,Strongly Disagree,Medium,High,27,High,High,Medium,Neutral,Medium,70.3125
Service_ID : 1875,149,Medium,No,High,Medium,Strongly Agree,Low,Low,25,Low,Low,Low,Neutral,Medium,50.0
Service_ID : 1876,628,High,No,Low,Low,Agree,Low,Medium,16,High,Low,Low,Neutral,Very High,37.5
Service_ID : 1877,216,Low,Yes,Medium,High,Neutral,Medium,Medium,21,Medium,Medium,Low,Agree,Low,70.3125
Service_ID : 1878,118,Medium,No,Medium,High,Neutral,High,Low,100,Low,Low,Low,Neutral,Low,56.25
Service_ID : 1879,292,Medium,No,High,Medium,Disagree,High,Low,61,High,Low,Medium,Agree,Medium,60.9375
Service_ID : 1880,336,Medium,No,Low,Low,Strongly Disagree,Low,Low,42,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 1881,55,Low,Yes,Low,Low,Disagree,Low,Medium,8,Medium,Low,Low,Disagree,High,37.5
Service_ID : 1882,281,Medium,Yes,Low,High,Disagree,High,High,58,Low,High,Medium,Disagree,Low,70.3125
Service_ID : 1883,456,Low,Yes,Medium,High,Neutral,High,High,14,High,High,Low,Agree,High,65.625
Service_ID : 1884,100,High,Yes,High,Low,Strongly Agree,High,Low,40,High,Low,Low,Strongly Agree,Low,68.75
Service_ID : 1885,881,High,Yes,Medium,Medium,Strongly Disagree,High,Low,43,High,Low,High,Agree,Low,71.875
Service_ID : 1886,648,High,No,High,Medium,Disagree,High,Low,3,High,Low,Low,Agree,Very High,43.75
Service_ID : 1887,564,High,Yes,High,Medium,Agree,Medium,Low,10,High,Low,Low,Strongly Agree,Low,68.75
Service_ID : 1888,875,High,Yes,Medium,High,Agree,High,Medium,88,Low,High,High,Strongly Agree,Very Low,100.0
Service_ID : 1889,347,High,Yes,Low,High,Strongly Disagree,Low,Medium,38,Medium,Low,Low,Disagree,Low,50.0
Service_ID : 1890,399,Low,No,High,High,Disagree,Low,High,18,Medium,Low,Low,Neutral,Medium,50.0
Service_ID : 1891,507,Medium,No,Medium,Low,Strongly Disagree,High,Low,82,High,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 1892,197,Medium,No,Medium,Low,Strongly Agree,Medium,Low,75,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1893,905,Medium,Yes,Low,High,Disagree,High,High,87,High,High,High,Agree,Low,87.5
Service_ID : 1894,36,High,No,High,High,Strongly Agree,High,Low,49,Low,Low,Low,Agree,Low,62.5
Service_ID : 1895,542,Medium,Yes,High,Low,Strongly Agree,Medium,Low,79,High,Low,High,Strongly Agree,Low,78.125
Service_ID : 1896,763,Low,Yes,Medium,Medium,Neutral,Low,Medium,9,Low,Low,Low,Disagree,High,37.5
Service_ID : 1897,890,High,Yes,Medium,High,Neutral,Medium,Low,3,High,Low,Low,Strongly Agree,High,56.25
Service_ID : 1898,327,Medium,Yes,Low,Medium,Strongly Disagree,High,Low,18,Low,Low,Low,Disagree,High,37.5
Service_ID : 1899,966,High,Yes,High,High,Strongly Disagree,Medium,High,18,Low,High,Medium,Agree,Low,82.8125
Service_ID : 1900,903,Medium,No,High,Low,Neutral,Low,Low,9,Medium,Low,Low,Neutral,Very High,37.5
Service_ID : 1901,943,Medium,No,High,High,Strongly Agree,Medium,Medium,3,Low,Medium,Low,Agree,Very High,51.5625
Service_ID : 1902,956,Medium,Yes,High,High,Neutral,Medium,Low,52,High,Low,High,Strongly Agree,Very Low,84.375
Service_ID : 1903,16,Low,Yes,Low,Low,Strongly Agree,High,High,55,High,High,Low,Disagree,High,53.125
Service_ID : 1904,639,Medium,Yes,High,High,Agree,Medium,Medium,90,Low,Medium,High,Strongly Agree,Very Low,92.1875
Service_ID : 1905,659,High,Yes,High,High,Strongly Disagree,Medium,High,99,High,High,High,Strongly Agree,Very Low,100.0
Service_ID : 1906,642,Medium,Yes,Medium,Medium,Strongly Disagree,Medium,Medium,28,High,Medium,Medium,Agree,High,62.5
Service_ID : 1907,346,Medium,Yes,Low,Low,Strongly Agree,Medium,Medium,64,High,Medium,Medium,Agree,Low,75.0
Service_ID : 1908,894,Medium,Yes,Medium,High,Strongly Disagree,Medium,High,49,Medium,High,High,Agree,Low,87.5
Service_ID : 1909,265,Low,Yes,High,Low,Strongly Disagree,Low,Medium,22,Medium,Low,Low,Disagree,High,37.5
Service_ID : 1910,731,Medium,No,Low,Medium,Strongly Disagree,High,Low,84,High,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 1911,166,Medium,No,Low,High,Strongly Agree,Low,Medium,40,Low,Low,Low,Neutral,Medium,50.0
Service_ID : 1912,832,High,No,High,Medium,Strongly Agree,Low,High,34,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1913,789,High,No,Medium,Low,Strongly Agree,Medium,Medium,2,Low,Medium,Low,Neutral,Very High,45.3125
Service_ID : 1914,731,High,No,High,Medium,Neutral,High,Medium,67,Low,High,High,Neutral,Low,81.25
Service_ID : 1915,172,Medium,Yes,High,Medium,Strongly Disagree,Low,High,50,Medium,Low,Low,Agree,Low,62.5
Service_ID : 1916,455,Medium,No,Medium,Medium,Neutral,Low,Low,65,Medium,Low,Medium,Neutral,Medium,54.6875
Service_ID : 1917,959,Low,Yes,High,Low,Strongly Agree,Low,Low,52,Medium,Low,High,Agree,Low,71.875
Service_ID : 1918,562,Low,No,High,High,Strongly Disagree,Low,High,66,High,Low,High,Neutral,Medium,59.375
Service_ID : 1919,839,Low,Yes,Low,Low,Neutral,Medium,High,63,Medium,High,High,Disagree,High,62.5
Service_ID : 1920,115,Low,Yes,Low,Medium,Neutral,Medium,High,13,Low,High,Low,Disagree,High,53.125
Service_ID : 1921,598,High,No,Medium,High,Strongly Disagree,High,Low,100,Medium,Low,High,Neutral,Medium,59.375
Service_ID : 1922,268,Low,Yes,Medium,Low,Strongly Disagree,Medium,Medium,98,Low,Medium,Medium,Disagree,High,50.0
Service_ID : 1923,683,Low,Yes,Low,High,Agree,Low,High,83,High,Low,High,Agree,Low,71.875
Service_ID : 1924,565,Medium,Yes,Low,Medium,Disagree,High,High,35,Low,High,Medium,Disagree,High,57.8125
Service_ID : 1925,203,Low,Yes,Medium,Low,Disagree,High,Low,90,High,Low,Medium,Disagree,Low,54.6875
Service_ID : 1926,850,High,Yes,Low,Low,Neutral,Medium,Medium,61,Medium,Medium,High,Disagree,Low,67.1875
Service_ID : 1927,769,Low,Yes,High,Low,Strongly Disagree,Medium,High,22,Low,High,Medium,Disagree,High,57.8125
Service_ID : 1928,334,High,No,Low,High,Disagree,Medium,High,99,Low,High,Medium,Strongly Disagree,Medium,57.8125
Service_ID : 1929,885,Low,Yes,Medium,Medium,Strongly Disagree,Low,Medium,89,Medium,Low,High,Disagree,Low,59.375
Service_ID : 1930,109,Low,Yes,High,Low,Neutral,Low,High,71,Medium,Low,Low,Disagree,Low,50.0
Service_ID : 1931,732,High,No,High,Medium,Disagree,Low,High,10,High,Low,Low,Agree,Medium,56.25
Service_ID : 1932,14,Low,No,Low,High,Agree,High,Low,30,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1933,546,Low,Yes,High,Low,Strongly Agree,Medium,Low,23,Low,Low,Low,Disagree,Low,50.0
Service_ID : 1934,848,High,Yes,High,High,Neutral,High,High,31,High,High,Medium,Strongly Agree,Low,89.0625
Service_ID : 1935,256,Medium,No,Medium,Low,Neutral,High,High,71,High,High,Medium,Neutral,Medium,70.3125
Service_ID : 1936,29,Low,Yes,Low,Low,Strongly Agree,Low,Medium,42,Low,Low,Low,Disagree,High,37.5
Service_ID : 1937,370,High,Yes,High,Low,Neutral,Medium,High,37,Medium,High,Low,Agree,Low,78.125
Service_ID : 1938,901,High,No,Medium,High,Neutral,High,Low,36,Medium,Low,Medium,Agree,Medium,60.9375
Service_ID : 1939,264,Low,Yes,High,High,Strongly Agree,High,High,95,Medium,High,Medium,Strongly Agree,Very Low,95.3125
Service_ID : 1940,518,Medium,No,Low,Medium,Disagree,High,High,11,High,High,Low,Neutral,Very High,53.125
Service_ID : 1941,761,High,Yes,High,Low,Strongly Agree,Low,High,87,High,Low,High,Strongly Agree,Very Low,84.375
Service_ID : 1942,425,Low,No,Medium,Low,Strongly Disagree,Medium,Low,14,High,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 1943,741,Low,Yes,Medium,High,Agree,Low,Medium,38,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1944,523,Low,No,High,Medium,Disagree,Low,High,54,Medium,Low,Medium,Neutral,Medium,54.6875
Service_ID : 1945,26,Low,No,Low,High,Agree,High,Low,8,High,Low,Low,Neutral,Very High,37.5
Service_ID : 1946,705,Medium,Yes,Medium,Medium,Disagree,Low,High,12,Medium,Low,Low,Agree,High,50.0
Service_ID : 1947,873,High,No,Medium,Low,Agree,Low,High,56,Medium,Low,High,Neutral,Medium,59.375
Service_ID : 1948,75,Low,Yes,Medium,Medium,Neutral,High,High,91,High,High,Low,Agree,Low,78.125
Service_ID : 1949,578,High,Yes,Low,Medium,Agree,Low,High,12,High,Low,Low,Strongly Agree,High,56.25
Service_ID : 1950,468,High,Yes,Low,Medium,Agree,Medium,Low,87,Low,Low,High,Agree,Low,71.875
Service_ID : 1951,900,High,No,High,Low,Agree,High,High,61,Medium,High,High,Agree,Medium,81.25
Service_ID : 1952,370,Medium,No,High,Low,Strongly Agree,Medium,High,100,Low,High,High,Neutral,Low,81.25
Service_ID : 1953,106,Low,No,High,High,Agree,Low,High,18,Medium,Low,Low,Agree,Medium,56.25
Service_ID : 1954,804,Low,Yes,Medium,Medium,Strongly Agree,Low,High,38,Low,Low,Medium,Disagree,Low,54.6875
Service_ID : 1955,605,High,No,Low,High,Strongly Disagree,High,High,46,Medium,High,Medium,Strongly Disagree,Medium,57.8125
Service_ID : 1956,385,High,No,Medium,Medium,Disagree,High,Low,31,High,Low,Low,Agree,Medium,56.25
Service_ID : 1957,844,High,Yes,Medium,Medium,Neutral,High,High,77,High,High,High,Strongly Agree,Very Low,100.0
Service_ID : 1958,847,Medium,No,Low,Medium,Strongly Disagree,Low,Medium,56,Medium,Low,High,Strongly Disagree,Very High,34.375
Service_ID : 1959,199,High,Yes,Medium,High,Strongly Agree,Medium,Medium,86,Medium,Medium,Medium,Strongly Agree,Very Low,87.5
Service_ID : 1960,705,Medium,Yes,Low,Medium,Agree,Medium,Medium,88,Low,Medium,High,Disagree,Low,67.1875
Service_ID : 1961,475,Medium,No,High,Medium,Strongly Agree,High,High,76,Low,High,High,Neutral,Low,81.25
Service_ID : 1962,104,Low,Yes,Low,Low,Disagree,Medium,High,35,Medium,High,Low,Disagree,High,53.125
Service_ID : 1963,2,Medium,Yes,Medium,Low,Strongly Disagree,High,Medium,37,High,High,Low,Disagree,High,53.125
Service_ID : 1964,31,High,No,Low,High,Strongly Disagree,Low,High,99,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1965,334,Medium,No,Low,Medium,Agree,Medium,Low,98,Low,Low,Medium,Strongly Disagree,Medium,42.1875
Service_ID : 1966,104,Medium,Yes,Low,Low,Agree,High,High,86,Medium,High,Low,Disagree,Low,65.625
Service_ID : 1967,165,High,No,Medium,Low,Disagree,Medium,Low,41,High,Low,Low,Neutral,Medium,50.0
Service_ID : 1968,926,Medium,No,High,Low,Agree,High,Low,24,Low,Low,Medium,Neutral,Medium,54.6875
Service_ID : 1969,31,Low,No,High,Medium,Strongly Agree,Medium,Medium,75,Medium,Medium,Low,Neutral,Medium,57.8125
Service_ID : 1970,107,Medium,Yes,Low,High,Neutral,High,Medium,53,Medium,High,Low,Agree,Low,78.125
Service_ID : 1971,785,High,Yes,High,Low,Strongly Agree,Low,Medium,78,High,Low,High,Strongly Agree,Very Low,84.375
Service_ID : 1972,204,Low,Yes,Low,Low,Agree,Medium,Medium,62,Medium,Medium,Low,Disagree,High,45.3125
Service_ID : 1973,455,Low,No,Medium,Low,Disagree,High,High,41,Medium,High,Medium,Strongly Disagree,Very High,45.3125
Service_ID : 1974,221,High,Yes,Medium,Medium,Agree,High,High,98,Low,High,Medium,Agree,Very Low,89.0625
Service_ID : 1975,122,Medium,Yes,Medium,High,Disagree,Low,Low,72,Medium,Low,Low,Agree,Low,62.5
Service_ID : 1976,287,High,No,Low,Medium,Disagree,Medium,Medium,72,Medium,Medium,Medium,Neutral,Medium,62.5
Service_ID : 1977,993,Medium,Yes,High,Medium,Agree,Low,Medium,24,Low,Low,Medium,Agree,Low,67.1875
Service_ID : 1978,445,Medium,No,High,Medium,Agree,Low,High,47,High,Low,Medium,Agree,Medium,60.9375
Service_ID : 1979,941,Medium,Yes,Low,Low,Neutral,Low,High,72,Medium,Low,High,Disagree,Low,59.375
Service_ID : 1980,883,Low,No,High,Medium,Agree,Medium,Low,88,High,Low,High,Agree,Medium,65.625
Service_ID : 1981,363,High,Yes,Low,Low,Neutral,High,Low,74,Low,Low,Medium,Disagree,Low,54.6875
Service_ID : 1982,490,High,Yes,High,High,Strongly Disagree,High,High,20,Medium,High,Low,Agree,Low,78.125
Service_ID : 1983,608,Medium,No,Medium,Low,Disagree,Low,Low,29,High,Low,Medium,Neutral,Very High,42.1875
Service_ID : 1984,456,Medium,Yes,Medium,High,Strongly Agree,Medium,High,7,High,High,Low,Strongly Agree,Low,84.375
Service_ID : 1985,227,Low,No,Medium,High,Strongly Disagree,Low,Low,76,Medium,Low,Medium,Strongly Disagree,Medium,42.1875
Service_ID : 1986,556,High,Yes,High,Low,Neutral,Medium,Medium,18,Low,Medium,Low,Agree,Low,70.3125
Service_ID : 1987,815,High,No,Low,Medium,Disagree,Low,Medium,84,High,Low,High,Neutral,Medium,59.375
Service_ID : 1988,736,Medium,No,Low,Low,Strongly Agree,High,Low,52,High,Low,High,Neutral,Medium,59.375
Service_ID : 1989,819,Low,Yes,High,High,Strongly Disagree,Low,Medium,35,Medium,Low,Medium,Disagree,High,42.1875
Service_ID : 1990,107,Medium,No,Low,High,Strongly Agree,Medium,High,51,Low,High,Low,Neutral,Medium,65.625
Service_ID : 1991,403,Low,No,Medium,Low,Disagree,Low,High,58,Medium,Low,Medium,Strongly Disagree,Very High,29.6875
Service_ID : 1992,876,Low,Yes,High,Low,Disagree,High,Low,4,High,Low,Low,Disagree,High,37.5
Service_ID : 1993,111,Low,Yes,High,High,Neutral,Medium,High,38,Medium,High,Low,Agree,Low,78.125
Service_ID : 1994,741,Medium,Yes,High,Low,Disagree,Low,High,56,Low,Low,High,Disagree,Low,59.375
